,category,message,cleaned
5367,Traffic Violation,He crashed into someone,he crash someon
5368,Traffic Violation,He broke their car,he broke car
5369,Traffic Violation,He ran a stop sign,he ran stop sign
5370,Traffic Violation,He hit someone with their car,he hit someon car
5371,Traffic Violation,He is driving while high,he drive high
5372,Traffic Violation,He is speeding,he speed
5373,Traffic Violation,He is too fast,he fast
5374,Traffic Violation,He driving like a maniac,he drive like maniac
5375,Traffic Violation,He reckless driving,he reckless drive
5376,Traffic Violation,He dangerous driving,he danger drive
5377,Traffic Violation,He license,he licens
5378,Traffic Violation,He driver,he driver
5379,Traffic Violation,He passenger,he passeng
5380,Traffic Violation,He pedestrian,he pedestrian
5381,Traffic Violation,He hit someone,he hit someon
5382,Traffic Violation,He police car,he polic car
5383,Traffic Violation,He tailgate,he tailgat
5384,Traffic Violation,He roadrage,he roadrag
5385,Traffic Violation,She car is swerving erratically,she car swerv errat
5386,Traffic Violation,She car moving weird,she car move weird
5387,Traffic Violation,She driving drunk,she drive drunk
5388,Traffic Violation,She ran a red light,she ran red light
5389,Traffic Violation,She has a suspended license,she suspend licens
5390,Traffic Violation,She cannot drive,she cannot drive
5391,Traffic Violation,She hit and run,she hit run
5392,Traffic Violation,She had an accident,she accid
5393,Traffic Violation,She crashed into someone,she crash someon
5394,Traffic Violation,She broke their car,she broke car
5395,Traffic Violation,She ran a stop sign,she ran stop sign
5396,Traffic Violation,She hit someone with their car,she hit someon car
5397,Traffic Violation,She is driving while high,she drive high
5398,Traffic Violation,She is speeding,she speed
5399,Traffic Violation,She is too fast,she fast
5400,Traffic Violation,She driving like a maniac,she drive like maniac
5401,Traffic Violation,She reckless driving,she reckless drive
5402,Traffic Violation,She dangerous driving,she danger drive
5403,Traffic Violation,She license,she licens
5404,Traffic Violation,She driver,she driver
5405,Traffic Violation,She passenger,she passeng
5406,Traffic Violation,She pedestrian,she pedestrian
5407,Traffic Violation,She hit someone,she hit someon
5408,Traffic Violation,She police car,she polic car
5409,Traffic Violation,She tailgate,she tailgat
5410,Traffic Violation,She roadrage,she roadrag
5411,Traffic Violation,They car is swerving erratically,they car swerv errat
5412,Traffic Violation,They car moving weird,they car move weird
5413,Traffic Violation,They driving drunk,they drive drunk
5414,Traffic Violation,They ran a red light,they ran red light
5415,Traffic Violation,They has a suspended license,they suspend licens
5416,Traffic Violation,They cannot drive,they cannot drive
5417,Traffic Violation,They hit and run,they hit run
5418,Traffic Violation,They had an accident,they accid
5419,Traffic Violation,They crashed into someone,they crash someon
5420,Traffic Violation,They broke their car,they broke car
5421,Traffic Violation,They ran a stop sign,they ran stop sign
5422,Traffic Violation,They hit someone with their car,they hit someon car
5423,Traffic Violation,They is driving while high,they drive high
5424,Traffic Violation,They is speeding,they speed
5425,Traffic Violation,They is too fast,they fast
5426,Traffic Violation,They driving like a maniac,they drive like maniac
5427,Traffic Violation,They reckless driving,they reckless drive
5428,Traffic Violation,They dangerous driving,they danger drive
5429,Traffic Violation,They license,they licens
5430,Traffic Violation,They driver,they driver
5431,Traffic Violation,They passenger,they passeng
5432,Traffic Violation,They pedestrian,they pedestrian
5433,Traffic Violation,They hit someone,they hit someon
5434,Traffic Violation,They police car,they polic car
5435,Traffic Violation,They tailgate,they tailgat
5436,Traffic Violation,They roadrage,they roadrag
5437,Traffic Violation,Us car is swerving erratically,us car swerv errat
5438,Traffic Violation,Us car moving weird,us car move weird
5439,Traffic Violation,Us driving drunk,us drive drunk
5440,Traffic Violation,Us ran a red light,us ran red light
5441,Traffic Violation,Us has a suspended license,us suspend licens
5442,Traffic Violation,Us cannot drive,us cannot drive
5443,Traffic Violation,Us hit and run,us hit run
5444,Traffic Violation,Us had an accident,us accid
5445,Traffic Violation,Us crashed into someone,us crash someon
5446,Traffic Violation,Us broke their car,us broke car
5447,Traffic Violation,Us ran a stop sign,us ran stop sign
5448,Traffic Violation,Us hit someone with their car,us hit someon car
5449,Traffic Violation,Us is driving while high,us drive high
5450,Traffic Violation,Us is speeding,us speed
5451,Traffic Violation,Us is too fast,us fast
5452,Traffic Violation,Us driving like a maniac,us drive like maniac
5453,Traffic Violation,Us reckless driving,us reckless drive
5454,Traffic Violation,Us dangerous driving,us danger drive
5455,Traffic Violation,Us license,us licens
5456,Traffic Violation,Us driver,us driver
5457,Traffic Violation,Us passenger,us passeng
5458,Traffic Violation,Us pedestrian,us pedestrian
5459,Traffic Violation,Us hit someone,us hit someon
5460,Traffic Violation,Us police car,us polic car
5461,Traffic Violation,Us tailgate,us tailgat
5462,Traffic Violation,Us roadrage,us roadrag
5463,Traffic Violation,A guy car is swerving erratically,a guy car swerv errat
5464,Traffic Violation,A guy car moving weird,a guy car move weird
5465,Traffic Violation,A guy driving drunk,a guy drive drunk
5466,Traffic Violation,A guy ran a red light,a guy ran red light
5467,Traffic Violation,A guy has a suspended license,a guy suspend licens
5468,Traffic Violation,A guy cannot drive,a guy cannot drive
5469,Traffic Violation,A guy hit and run,a guy hit run
5470,Traffic Violation,A guy had an accident,a guy accid
5471,Traffic Violation,A guy crashed into someone,a guy crash someon
5472,Traffic Violation,A guy broke their car,a guy broke car
5473,Traffic Violation,A guy ran a stop sign,a guy ran stop sign
5474,Traffic Violation,A guy hit someone with their car,a guy hit someon car
5475,Traffic Violation,A guy is driving while high,a guy drive high
5476,Traffic Violation,A guy is speeding,a guy speed
5477,Traffic Violation,A guy is too fast,a guy fast
5478,Traffic Violation,A guy driving like a maniac,a guy drive like maniac
5479,Traffic Violation,A guy reckless driving,a guy reckless drive
5480,Traffic Violation,A guy dangerous driving,a guy danger drive
5481,Traffic Violation,A guy license,a guy licens
5482,Traffic Violation,A guy driver,a guy driver
5483,Traffic Violation,A guy passenger,a guy passeng
5484,Traffic Violation,A guy pedestrian,a guy pedestrian
5485,Traffic Violation,A guy hit someone,a guy hit someon
5486,Traffic Violation,A guy police car,a guy polic car
5487,Traffic Violation,A guy tailgate,a guy tailgat
5488,Traffic Violation,A guy roadrage,a guy roadrag
5489,Traffic Violation,A girl car is swerving erratically,a girl car swerv errat
5490,Traffic Violation,A girl car moving weird,a girl car move weird
5491,Traffic Violation,A girl driving drunk,a girl drive drunk
5492,Traffic Violation,A girl ran a red light,a girl ran red light
5493,Traffic Violation,A girl has a suspended license,a girl suspend licens
5494,Traffic Violation,A girl cannot drive,a girl cannot drive
5495,Traffic Violation,A girl hit and run,a girl hit run
5496,Traffic Violation,A girl had an accident,a girl accid
5497,Traffic Violation,A girl crashed into someone,a girl crash someon
5498,Traffic Violation,A girl broke their car,a girl broke car
5499,Traffic Violation,A girl ran a stop sign,a girl ran stop sign
5500,Traffic Violation,A girl hit someone with their car,a girl hit someon car
5501,Traffic Violation,A girl is driving while high,a girl drive high
5502,Traffic Violation,A girl is speeding,a girl speed
5503,Traffic Violation,A girl is too fast,a girl fast
5504,Traffic Violation,A girl driving like a maniac,a girl drive like maniac
5505,Traffic Violation,A girl reckless driving,a girl reckless drive
5506,Traffic Violation,A girl dangerous driving,a girl danger drive
5507,Traffic Violation,A girl license,a girl licens
5508,Traffic Violation,A girl driver,a girl driver
5509,Traffic Violation,A girl passenger,a girl passeng
5510,Traffic Violation,A girl pedestrian,a girl pedestrian
5511,Traffic Violation,A girl hit someone,a girl hit someon
5512,Traffic Violation,A girl police car,a girl polic car
5513,Traffic Violation,A girl tailgate,a girl tailgat
5514,Traffic Violation,A girl roadrage,a girl roadrag
5515,Traffic Violation,A man car is swerving erratically,a man car swerv errat
5516,Traffic Violation,A man car moving weird,a man car move weird
5517,Traffic Violation,A man driving drunk,a man drive drunk
5518,Traffic Violation,A man ran a red light,a man ran red light
5519,Traffic Violation,A man has a suspended license,a man suspend licens
5520,Traffic Violation,A man cannot drive,a man cannot drive
5521,Traffic Violation,A man hit and run,a man hit run
5522,Traffic Violation,A man had an accident,a man accid
5523,Traffic Violation,A man crashed into someone,a man crash someon
5524,Traffic Violation,A man broke their car,a man broke car
5525,Traffic Violation,A man ran a stop sign,a man ran stop sign
5526,Traffic Violation,A man hit someone with their car,a man hit someon car
5527,Traffic Violation,A man is driving while high,a man drive high
5528,Traffic Violation,A man is speeding,a man speed
5529,Traffic Violation,A man is too fast,a man fast
5530,Traffic Violation,A man driving like a maniac,a man drive like maniac
5531,Traffic Violation,A man reckless driving,a man reckless drive
5532,Traffic Violation,A man dangerous driving,a man danger drive
5533,Traffic Violation,A man license,a man licens
5534,Traffic Violation,A man driver,a man driver
5535,Traffic Violation,A man passenger,a man passeng
5536,Traffic Violation,A man pedestrian,a man pedestrian
5537,Traffic Violation,A man hit someone,a man hit someon
5538,Traffic Violation,A man police car,a man polic car
5539,Traffic Violation,A man tailgate,a man tailgat
5540,Traffic Violation,A man roadrage,a man roadrag
5541,Traffic Violation,A woman car is swerving erratically,a woman car swerv errat
5542,Traffic Violation,A woman car moving weird,a woman car move weird
5543,Traffic Violation,A woman driving drunk,a woman drive drunk
5544,Traffic Violation,A woman ran a red light,a woman ran red light
5545,Traffic Violation,A woman has a suspended license,a woman suspend licens
5546,Traffic Violation,A woman cannot drive,a woman cannot drive
5547,Traffic Violation,A woman hit and run,a woman hit run
5548,Traffic Violation,A woman had an accident,a woman accid
5549,Traffic Violation,A woman crashed into someone,a woman crash someon
5550,Traffic Violation,A woman broke their car,a woman broke car
5551,Traffic Violation,A woman ran a stop sign,a woman ran stop sign
5552,Traffic Violation,A woman hit someone with their car,a woman hit someon car
5553,Traffic Violation,A woman is driving while high,a woman drive high
5554,Traffic Violation,A woman is speeding,a woman speed
5555,Traffic Violation,A woman is too fast,a woman fast
5556,Traffic Violation,A woman driving like a maniac,a woman drive like maniac
5557,Traffic Violation,A woman reckless driving,a woman reckless drive
5558,Traffic Violation,A woman dangerous driving,a woman danger drive
5559,Traffic Violation,A woman license,a woman licens
5560,Traffic Violation,A woman driver,a woman driver
5561,Traffic Violation,A woman passenger,a woman passeng
5562,Traffic Violation,A woman pedestrian,a woman pedestrian
5563,Traffic Violation,A woman hit someone,a woman hit someon
5564,Traffic Violation,A woman police car,a woman polic car
5565,Traffic Violation,A woman tailgate,a woman tailgat
5566,Traffic Violation,A woman roadrage,a woman roadrag
5567,Traffic Violation,That guy car is swerving erratically,that guy car swerv errat
5568,Traffic Violation,That guy car moving weird,that guy car move weird
5569,Traffic Violation,That guy driving drunk,that guy drive drunk
5570,Traffic Violation,That guy ran a red light,that guy ran red light
5571,Traffic Violation,That guy has a suspended license,that guy suspend licens
5572,Traffic Violation,That guy cannot drive,that guy cannot drive
5573,Traffic Violation,That guy hit and run,that guy hit run
5574,Traffic Violation,That guy had an accident,that guy accid
5575,Traffic Violation,That guy crashed into someone,that guy crash someon
5576,Traffic Violation,That guy broke their car,that guy broke car
5577,Traffic Violation,That guy ran a stop sign,that guy ran stop sign
5578,Traffic Violation,That guy hit someone with their car,that guy hit someon car
5579,Traffic Violation,That guy is driving while high,that guy drive high
5580,Traffic Violation,That guy is speeding,that guy speed
5581,Traffic Violation,That guy is too fast,that guy fast
5582,Traffic Violation,That guy driving like a maniac,that guy drive like maniac
5583,Traffic Violation,That guy reckless driving,that guy reckless drive
5584,Traffic Violation,That guy dangerous driving,that guy danger drive
5585,Traffic Violation,That guy license,that guy licens
5586,Traffic Violation,That guy driver,that guy driver
5587,Traffic Violation,That guy passenger,that guy passeng
5588,Traffic Violation,That guy pedestrian,that guy pedestrian
5589,Traffic Violation,That guy hit someone,that guy hit someon
5590,Traffic Violation,That guy police car,that guy polic car
5591,Traffic Violation,That guy tailgate,that guy tailgat
5592,Traffic Violation,That guy roadrage,that guy roadrag
5593,Traffic Violation,My neighbour car is swerving erratically,my neighbour car swerv errat
5594,Traffic Violation,My neighbour car moving weird,my neighbour car move weird
5595,Traffic Violation,My neighbour driving drunk,my neighbour drive drunk
5596,Traffic Violation,My neighbour ran a red light,my neighbour ran red light
5597,Traffic Violation,My neighbour has a suspended license,my neighbour suspend licens
5598,Traffic Violation,My neighbour cannot drive,my neighbour cannot drive
5599,Traffic Violation,My neighbour hit and run,my neighbour hit run
5600,Traffic Violation,My neighbour had an accident,my neighbour accid
5601,Traffic Violation,My neighbour crashed into someone,my neighbour crash someon
5602,Traffic Violation,My neighbour broke their car,my neighbour broke car
5603,Traffic Violation,My neighbour ran a stop sign,my neighbour ran stop sign
5604,Traffic Violation,My neighbour hit someone with their car,my neighbour hit someon car
5605,Traffic Violation,My neighbour is driving while high,my neighbour drive high
5606,Traffic Violation,My neighbour is speeding,my neighbour speed
5607,Traffic Violation,My neighbour is too fast,my neighbour fast
5608,Traffic Violation,My neighbour driving like a maniac,my neighbour drive like maniac
5609,Traffic Violation,My neighbour reckless driving,my neighbour reckless drive
5610,Traffic Violation,My neighbour dangerous driving,my neighbour danger drive
5611,Traffic Violation,My neighbour license,my neighbour licens
5612,Traffic Violation,My neighbour driver,my neighbour driver
5613,Traffic Violation,My neighbour passenger,my neighbour passeng
5614,Traffic Violation,My neighbour pedestrian,my neighbour pedestrian
5615,Traffic Violation,My neighbour hit someone,my neighbour hit someon
5616,Traffic Violation,My neighbour police car,my neighbour polic car
5617,Traffic Violation,My neighbour tailgate,my neighbour tailgat
5618,Traffic Violation,My neighbour roadrage,my neighbour roadrag
5619,Traffic Violation,My friend car is swerving erratically,my friend car swerv errat
5620,Traffic Violation,My friend car moving weird,my friend car move weird
5621,Traffic Violation,My friend driving drunk,my friend drive drunk
5622,Traffic Violation,My friend ran a red light,my friend ran red light
5623,Traffic Violation,My friend has a suspended license,my friend suspend licens
5624,Traffic Violation,My friend cannot drive,my friend cannot drive
5625,Traffic Violation,My friend hit and run,my friend hit run
5626,Traffic Violation,My friend had an accident,my friend accid
5627,Traffic Violation,My friend crashed into someone,my friend crash someon
5628,Traffic Violation,My friend broke their car,my friend broke car
5629,Traffic Violation,My friend ran a stop sign,my friend ran stop sign
5630,Traffic Violation,My friend hit someone with their car,my friend hit someon car
5631,Traffic Violation,My friend is driving while high,my friend drive high
5632,Traffic Violation,My friend is speeding,my friend speed
5633,Traffic Violation,My friend is too fast,my friend fast
5634,Traffic Violation,My friend driving like a maniac,my friend drive like maniac
5635,Traffic Violation,My friend reckless driving,my friend reckless drive
5636,Traffic Violation,My friend dangerous driving,my friend danger drive
5637,Traffic Violation,My friend license,my friend licens
5638,Traffic Violation,My friend driver,my friend driver
5639,Traffic Violation,My friend passenger,my friend passeng
5640,Traffic Violation,My friend pedestrian,my friend pedestrian
5641,Traffic Violation,My friend hit someone,my friend hit someon
5642,Traffic Violation,My friend police car,my friend polic car
5643,Traffic Violation,My friend tailgate,my friend tailgat
5644,Traffic Violation,My friend roadrage,my friend roadrag
5645,Traffic Violation,a person car is swerving erratically,person car swerv errat
5646,Traffic Violation,a person car moving weird,person car move weird
5647,Traffic Violation,a person driving drunk,person drive drunk
5648,Traffic Violation,a person ran a red light,person ran red light
5649,Traffic Violation,a person has a suspended license,person suspend licens
5650,Traffic Violation,a person cannot drive,person cannot drive
5651,Traffic Violation,a person hit and run,person hit run
5652,Traffic Violation,a person had an accident,person accid
5653,Traffic Violation,a person crashed into someone,person crash someon
5654,Traffic Violation,a person broke their car,person broke car
5655,Traffic Violation,a person ran a stop sign,person ran stop sign
5656,Traffic Violation,a person hit someone with their car,person hit someon car
5657,Traffic Violation,a person is driving while high,person drive high
5658,Traffic Violation,a person is speeding,person speed
5659,Traffic Violation,a person is too fast,person fast
5660,Traffic Violation,a person driving like a maniac,person drive like maniac
5661,Traffic Violation,a person reckless driving,person reckless drive
5662,Traffic Violation,a person dangerous driving,person danger drive
5663,Traffic Violation,a person license,person licens
5664,Traffic Violation,a person driver,person driver
5665,Traffic Violation,a person passenger,person passeng
5666,Traffic Violation,a person pedestrian,person pedestrian
5667,Traffic Violation,a person hit someone,person hit someon
5668,Traffic Violation,a person police car,person polic car
5669,Traffic Violation,a person tailgate,person tailgat
5670,Traffic Violation,a person roadrage,person roadrag
5671,Traffic Violation,My car is swerving erratically,my car swerv errat
5672,Traffic Violation,My car moving weird,my car move weird
5673,Traffic Violation,My driving drunk,my drive drunk
5674,Traffic Violation,My ran a red light,my ran red light
5675,Traffic Violation,My has a suspended license,my suspend licens
5676,Traffic Violation,My cannot drive,my cannot drive
5677,Traffic Violation,My hit and run,my hit run
5678,Traffic Violation,My had an accident,my accid
5679,Traffic Violation,My crashed into someone,my crash someon
5680,Traffic Violation,My broke their car,my broke car
5681,Traffic Violation,My ran a stop sign,my ran stop sign
5682,Traffic Violation,My hit someone with their car,my hit someon car
5683,Traffic Violation,My is driving while high,my drive high
5684,Traffic Violation,My is speeding,my speed
5685,Traffic Violation,My is too fast,my fast
5686,Traffic Violation,My driving like a maniac,my drive like maniac
5687,Traffic Violation,My reckless driving,my reckless drive
5688,Traffic Violation,My dangerous driving,my danger drive
5689,Traffic Violation,My license,my licens
5690,Traffic Violation,My driver,my driver
5691,Traffic Violation,My passenger,my passeng
5692,Traffic Violation,My pedestrian,my pedestrian
5693,Traffic Violation,My hit someone,my hit someon
5694,Traffic Violation,My police car,my polic car
5695,Traffic Violation,My tailgate,my tailgat
5696,Traffic Violation,My roadrage,my roadrag
5697,Traffic Violation,I car is swerving erratically,i car swerv errat
5698,Traffic Violation,I car moving weird,i car move weird
5699,Traffic Violation,I driving drunk,i drive drunk
5700,Traffic Violation,I ran a red light,i ran red light
5701,Traffic Violation,I has a suspended license,i suspend licens
5702,Traffic Violation,I cannot drive,i cannot drive
5703,Traffic Violation,I hit and run,i hit run
5704,Traffic Violation,I had an accident,i accid
5705,Traffic Violation,I crashed into someone,i crash someon
5706,Traffic Violation,I broke their car,i broke car
5707,Traffic Violation,I ran a stop sign,i ran stop sign
5708,Traffic Violation,I hit someone with their car,i hit someon car
5709,Traffic Violation,I is driving while high,i drive high
5710,Traffic Violation,I is speeding,i speed
5711,Traffic Violation,I is too fast,i fast
5712,Traffic Violation,I driving like a maniac,i drive like maniac
5713,Traffic Violation,I reckless driving,i reckless drive
5714,Traffic Violation,I dangerous driving,i danger drive
5715,Traffic Violation,I license,i licens
5716,Traffic Violation,I driver,i driver
5717,Traffic Violation,I passenger,i passeng
5718,Traffic Violation,I pedestrian,i pedestrian
5719,Traffic Violation,I hit someone,i hit someon
5720,Traffic Violation,I police car,i polic car
5721,Traffic Violation,I tailgate,i tailgat
5722,Traffic Violation,I roadrage,i roadrag
5723,Traffic Violation,We car is swerving erratically,we car swerv errat
5724,Traffic Violation,We car moving weird,we car move weird
5725,Traffic Violation,We driving drunk,we drive drunk
5726,Traffic Violation,We ran a red light,we ran red light
5727,Traffic Violation,We has a suspended license,we suspend licens
5728,Traffic Violation,We cannot drive,we cannot drive
5729,Traffic Violation,We hit and run,we hit run
5730,Traffic Violation,We had an accident,we accid
5731,Traffic Violation,We crashed into someone,we crash someon
5732,Traffic Violation,We broke their car,we broke car
5733,Traffic Violation,We ran a stop sign,we ran stop sign
5734,Traffic Violation,We hit someone with their car,we hit someon car
5735,Traffic Violation,We is driving while high,we drive high
5736,Traffic Violation,We is speeding,we speed
5737,Traffic Violation,We is too fast,we fast
5738,Traffic Violation,We driving like a maniac,we drive like maniac
5739,Traffic Violation,We reckless driving,we reckless drive
5740,Traffic Violation,We dangerous driving,we danger drive
5741,Traffic Violation,We license,we licens
5742,Traffic Violation,We driver,we driver
5743,Traffic Violation,We passenger,we passeng
5744,Traffic Violation,We pedestrian,we pedestrian
5745,Traffic Violation,We hit someone,we hit someon
5746,Traffic Violation,We police car,we polic car
5747,Traffic Violation,We tailgate,we tailgat
5748,Traffic Violation,We roadrage,we roadrag
5749,Traffic Violation,mencar is swerving erratically,mencar swerv errat
5750,Traffic Violation,mencar moving weird,mencar move weird
5751,Traffic Violation,mendriving drunk,mendriv drunk
5752,Traffic Violation,menran a red light,menran red light
5753,Traffic Violation,menhas a suspended license,menha suspend licens
5754,Traffic Violation,mencannot drive,mencannot drive
5755,Traffic Violation,menhit and run,menhit run
5756,Traffic Violation,menhad an accident,menhad accid
5757,Traffic Violation,mencrashed into someone,mencrash someon
5758,Traffic Violation,menbroke their car,menbrok car
5759,Traffic Violation,menran a stop sign,menran stop sign
5760,Traffic Violation,menhit someone with their car,menhit someon car
5761,Traffic Violation,menis driving while high,meni drive high
5762,Traffic Violation,menis speeding,meni speed
5763,Traffic Violation,menis too fast,meni fast
5764,Traffic Violation,mendriving like a maniac,mendriv like maniac
5765,Traffic Violation,menreckless driving,menreckless drive
5766,Traffic Violation,mendangerous driving,mendanger drive
5767,Traffic Violation,menlicense,menlicens
5768,Traffic Violation,mendriver,mendriv
5769,Traffic Violation,menpassenger,menpasseng
5770,Traffic Violation,menpedestrian,menpedestrian
5771,Traffic Violation,menhit someone,menhit someon
5772,Traffic Violation,menpolice car,menpolic car
5773,Traffic Violation,mentailgate,mentailg
5774,Traffic Violation,menroadrage,menroadrag
5775,Traffic Violation,womencar is swerving erratically,womencar swerv errat
5776,Traffic Violation,womencar moving weird,womencar move weird
5777,Traffic Violation,womendriving drunk,womendriv drunk
5778,Traffic Violation,womenran a red light,womenran red light
5779,Traffic Violation,womenhas a suspended license,womenha suspend licens
5780,Traffic Violation,womencannot drive,womencannot drive
5781,Traffic Violation,womenhit and run,womenhit run
5782,Traffic Violation,womenhad an accident,womenhad accid
5783,Traffic Violation,womencrashed into someone,womencrash someon
5784,Traffic Violation,womenbroke their car,womenbrok car
5785,Traffic Violation,womenran a stop sign,womenran stop sign
5786,Traffic Violation,womenhit someone with their car,womenhit someon car
5787,Traffic Violation,womenis driving while high,womeni drive high
5788,Traffic Violation,womenis speeding,womeni speed
5789,Traffic Violation,womenis too fast,womeni fast
5790,Traffic Violation,womendriving like a maniac,womendriv like maniac
5791,Traffic Violation,womenreckless driving,womenreckless drive
5792,Traffic Violation,womendangerous driving,womendanger drive
5793,Traffic Violation,womenlicense,womenlicens
5794,Traffic Violation,womendriver,womendriv
5795,Traffic Violation,womenpassenger,womenpasseng
5796,Traffic Violation,womenpedestrian,womenpedestrian
5797,Traffic Violation,womenhit someone,womenhit someon
5798,Traffic Violation,womenpolice car,womenpolic car
5799,Traffic Violation,womentailgate,womentailg
5800,Traffic Violation,womenroadrage,womenroadrag
5801,Traffic Violation,a guycar is swerving erratically,guycar swerv errat
5802,Traffic Violation,a guycar moving weird,guycar move weird
5803,Traffic Violation,a guydriving drunk,guydriv drunk
5804,Traffic Violation,a guyran a red light,guyran red light
5805,Traffic Violation,a guyhas a suspended license,guyha suspend licens
5806,Traffic Violation,a guycannot drive,guycannot drive
5807,Traffic Violation,a guyhit and run,guyhit run
5808,Traffic Violation,a guyhad an accident,guyhad accid
5809,Traffic Violation,a guycrashed into someone,guycrash someon
5810,Traffic Violation,a guybroke their car,guybrok car
5811,Traffic Violation,a guyran a stop sign,guyran stop sign
5812,Traffic Violation,a guyhit someone with their car,guyhit someon car
5813,Traffic Violation,a guyis driving while high,guyi drive high
5814,Traffic Violation,a guyis speeding,guyi speed
5815,Traffic Violation,a guyis too fast,guyi fast
5816,Traffic Violation,a guydriving like a maniac,guydriv like maniac
5817,Traffic Violation,a guyreckless driving,guyreckless drive
5818,Traffic Violation,a guydangerous driving,guydanger drive
5819,Traffic Violation,a guylicense,guylicens
5820,Traffic Violation,a guydriver,guydriv
5821,Traffic Violation,a guypassenger,guypasseng
5822,Traffic Violation,a guypedestrian,guypedestrian
5823,Traffic Violation,a guyhit someone,guyhit someon
5824,Traffic Violation,a guypolice car,guypolic car
5825,Traffic Violation,a guytailgate,guytailg
5826,Traffic Violation,a guyroadrage,guyroadrag
5827,Traffic Violation,that personcar is swerving erratically,personcar swerv errat
5828,Traffic Violation,that personcar moving weird,personcar move weird
5829,Traffic Violation,that persondriving drunk,persondriv drunk
5830,Traffic Violation,that personran a red light,personran red light
5831,Traffic Violation,that personhas a suspended license,personha suspend licens
5832,Traffic Violation,that personcannot drive,personcannot drive
5833,Traffic Violation,that personhit and run,personhit run
5834,Traffic Violation,that personhad an accident,personhad accid
5835,Traffic Violation,that personcrashed into someone,personcrash someon
5836,Traffic Violation,that personbroke their car,personbrok car
5837,Traffic Violation,that personran a stop sign,personran stop sign
5838,Traffic Violation,that personhit someone with their car,personhit someon car
5839,Traffic Violation,that personis driving while high,personi drive high
5840,Traffic Violation,that personis speeding,personi speed
5841,Traffic Violation,that personis too fast,personi fast
5842,Traffic Violation,that persondriving like a maniac,persondriv like maniac
5843,Traffic Violation,that personreckless driving,personreckless drive
5844,Traffic Violation,that persondangerous driving,persondanger drive
5845,Traffic Violation,that personlicense,personlicens
5846,Traffic Violation,that persondriver,persondriv
5847,Traffic Violation,that personpassenger,personpasseng
5848,Traffic Violation,that personpedestrian,personpedestrian
5849,Traffic Violation,that personhit someone,personhit someon
5850,Traffic Violation,that personpolice car,personpolic car
5851,Traffic Violation,that persontailgate,persontailg
5852,Traffic Violation,that personroadrage,personroadrag
5853,Traffic Violation,themcar is swerving erratically,themcar swerv errat
5854,Traffic Violation,themcar moving weird,themcar move weird
5855,Traffic Violation,themdriving drunk,themdriv drunk
5856,Traffic Violation,themran a red light,themran red light
5857,Traffic Violation,themhas a suspended license,themha suspend licens
5858,Traffic Violation,themcannot drive,themcannot drive
5859,Traffic Violation,themhit and run,themhit run
5860,Traffic Violation,themhad an accident,themhad accid
5861,Traffic Violation,themcrashed into someone,themcrash someon
5862,Traffic Violation,thembroke their car,thembrok car
5863,Traffic Violation,themran a stop sign,themran stop sign
5864,Traffic Violation,themhit someone with their car,themhit someon car
5865,Traffic Violation,themis driving while high,themi drive high
5866,Traffic Violation,themis speeding,themi speed
5867,Traffic Violation,themis too fast,themi fast
5868,Traffic Violation,themdriving like a maniac,themdriv like maniac
5869,Traffic Violation,themreckless driving,themreckless drive
5870,Traffic Violation,themdangerous driving,themdanger drive
5871,Traffic Violation,themlicense,themlicens
5872,Traffic Violation,themdriver,themdriv
5873,Traffic Violation,thempassenger,thempasseng
5874,Traffic Violation,thempedestrian,thempedestrian
5875,Traffic Violation,themhit someone,themhit someon
5876,Traffic Violation,thempolice car,thempolic car
5877,Traffic Violation,themtailgate,themtailg
5878,Traffic Violation,themroadrage,themroadrag
5879,Traffic Violation,I seecar is swerving erratically,i seecar swerv errat
5880,Traffic Violation,I seecar moving weird,i seecar move weird
5881,Traffic Violation,I seedriving drunk,i seedriv drunk
5882,Traffic Violation,I seeran a red light,i seeran red light
5883,Traffic Violation,I seehas a suspended license,i seeha suspend licens
5884,Traffic Violation,I seecannot drive,i seecannot drive
5885,Traffic Violation,I seehit and run,i seehit run
5886,Traffic Violation,I seehad an accident,i seehad accid
5887,Traffic Violation,I seecrashed into someone,i seecrash someon
5888,Traffic Violation,I seebroke their car,i seebrok car
5889,Traffic Violation,I seeran a stop sign,i seeran stop sign
5890,Traffic Violation,I seehit someone with their car,i seehit someon car
5891,Traffic Violation,I seeis driving while high,i seei drive high
5892,Traffic Violation,I seeis speeding,i seei speed
5893,Traffic Violation,I seeis too fast,i seei fast
5894,Traffic Violation,I seedriving like a maniac,i seedriv like maniac
5895,Traffic Violation,I seereckless driving,i seereckless drive
5896,Traffic Violation,I seedangerous driving,i seedanger drive
5897,Traffic Violation,I seelicense,i seelicens
5898,Traffic Violation,I seedriver,i seedriv
5899,Traffic Violation,I seepassenger,i seepasseng
5900,Traffic Violation,I seepedestrian,i seepedestrian
5901,Traffic Violation,I seehit someone,i seehit someon
5902,Traffic Violation,I seepolice car,i seepolic car
5903,Traffic Violation,I seetailgate,i seetailg
5904,Traffic Violation,I seeroadrage,i seeroadrag
5905,Traffic Violation,There iscar is swerving erratically,there iscar swerv errat
5906,Traffic Violation,There iscar moving weird,there iscar move weird
5907,Traffic Violation,There isdriving drunk,there isdriv drunk
5908,Traffic Violation,There isran a red light,there isran red light
5909,Traffic Violation,There ishas a suspended license,there isha suspend licens
